run,game,turn,seat,blanks,rack_tiles,wall_ms,cpu_ms
1788517029,9,28,0,0,7,0.2901,0.2659
1788517029,9,29,1,0,7,0.2286,0.2084
1788517029,9,30,0,0,7,0.1970,0.1921
1788517029,9,31,1,0,7,0.2828,0.2520
1788517029,9,32,0,0,7,0.2529,0.2331
1788517029,9,33,1,0,7,0.2905,0.2679
1788517029,9,34,0,0,7,0.2653,0.2441
1788517029,9,35,1,0,7,0.3369,0.3092
1788517029,9,36,0,0,7,0.2728,0.2504
1788517029,9,37,1,0,6,0.2932,0.2714
1788517029,9,38,0,0,4,0.1703,0.1559
1788517029,9,39,1,0,4,0.2173,0.1997
1788517029,9,40,0,0,3,0.1419,0.1273
1788517029,9,41,1,0,2,0.1347,0.1229
1788517029,9,42,0,0,2,0.1214,0.1105
1788517029,9,43,1,0,1,0.3428,0.3350
1788517029,10,0,0,0,7,0.5581,0.5191
1788517029,10,1,1,0,7,1.0314,0.9591
1788517029,10,2,0,0,7,0.3516,0.3184
1788517029,10,3,1,1,7,4.7497,4.4479
1788517029,10,4,0,0,7,0.4506,0.4223
1788517029,10,5,1,0,7,0.4531,0.4217
1788517029,10,6,0,0,7,0.5034,0.4679
1788517029,10,7,1,0,7,0.7700,0.7082
1788517029,10,8,0,0,7,0.3583,0.3302
1788517029,10,9,1,0,7,0.4620,0.4237
1788517029,10,10,0,0,7,1.4593,1.3558
1788517029,10,11,1,0,7,0.8651,0.7946
1788517029,10,12,0,0,7,0.8738,0.8128
1788517029,10,13,1,0,7,0.7546,0.6944
1788517029,10,14,0,0,7,0.9560,0.8820
1788517029,10,15,1,0,7,0.1998,0.1832
1788517029,10,16,0,0,7,0.1650,0.1499
1788517029,10,17,1,0,7,0.1556,0.1377
1788517029,10,18,0,0,7,0.1548,0.1409
1788517029,10,19,1,0,7,0.1349,0.1224
1788517029,10,20,0,0,7,0.1880,0.1722
1788517029,10,21,1,0,7,0.1406,0.1214
1788517029,11,0,0,0,7,0.4715,0.3863
1788517029,11,1,1,0,7,0.5987,0.5544
1788517029,11,2,0,0,7,0.5143,0.4662
1788517029,11,3,1,0,7,0.9728,0.9050
1788517029,11,4,0,0,7,0.3959,0.3633
1788517029,11,5,1,1,7,4.7563,4.4645
1788517029,11,6,0,0,7,0.7961,0.7381
1788517029,11,7,1,0,7,0.5929,0.5570
1788517029,11,8,0,0,7,0.4387,0.3975
1788517029,11,9,1,1,7,1.4159,1.3223
1788517029,11,10,0,0,7,0.2003,0.1818
1788517029,11,11,1,1,7,0.9656,0.8972
1788517029,11,12,0,0,7,0.2035,0.1861
1788517029,11,13,1,0,7,0.2684,0.2476
1788517029,11,14,0,0,7,0.3003,0.2775
1788517029,11,15,1,0,7,0.4451,0.4128
1788517029,11,16,0,0,7,0.1987,0.1805
1788517029,11,17,1,0,7,0.2593,0.2396
1788517029,11,18,0,0,7,0.1515,0.1381
1788517029,11,19,1,0,7,0.1681,0.1535
1788517029,11,20,0,0,7,0.1419,0.1294
1788517029,11,21,1,0,7,0.1943,0.1785
1788517029,11,22,0,0,7,0.1415,0.1247
1788517029,11,23,1,0,7,0.1342,0.1225
1788517029,11,24,0,0,7,0.1141,0.1033
1788517029,11,25,1,0,7,0.1322,0.1199
1788517029,11,26,0,0,7,0.1131,0.1027
1788517029,11,27,1,0,7,0.1308,0.1188
1788517029,11,28,0,0,7,0.1121,0.1014
1788517029,12,0,0,0,7,0.3632,0.3336
1788517029,12,1,1,0,7,0.7559,0.7016
1788517029,12,2,0,0,7,0.4671,0.4288
1788517029,12,3,1,0,7,0.5004,0.4628
1788517029,12,4,0,0,7,0.2083,0.1977
1788517029,12,5,1,0,7,0.6208,0.5686
1788517029,12,6,0,0,7,0.5775,0.5381
1788517029,12,7,1,0,7,0.2825,0.2588
1788517029,12,8,0,0,7,0.3023,0.2917
1788517029,12,9,1,1,7,0.6248,0.5806
1788517029,12,10,0,0,7,0.2480,0.2241
1788517029,12,11,1,0,7,0.2675,0.2475
1788517029,12,12,0,0,7,0.3423,0.3172
1788517029,12,13,1,0,7,0.2499,0.2271
1788517029,12,14,0,0,7,0.2543,0.2342
1788517029,12,15,1,0,7,0.2769,0.2541
1788517029,12,16,0,0,7,0.2084,0.1883
1788517029,12,17,1,0,7,0.4548,0.4086
1788517029,12,18,0,0,7,0.2808,0.2551
1788517029,12,19,1,1,7,1.2866,1.2023
1788517029,12,20,0,0,7,0.2425,0.2196
1788517029,12,21,1,0,7,0.1780,0.1630
1788517029,12,22,0,0,7,0.2154,0.1968
1788517029,12,23,1,0,7,0.1531,0.1413
1788517029,12,24,0,0,7,0.2302,0.2111
1788517029,12,25,1,0,7,0.2006,0.1826
1788517029,12,26,0,0,7,0.1925,0.1741
1788517029,12,27,1,0,7,0.1880,0.1727
1788517029,12,28,0,0,7,0.1857,0.1719
1788517029,12,29,1,0,7,0.1660,0.1605
1788517029,12,30,0,0,7,0.3159,0.3100
1788517029,12,31,1,0,7,0.1653,0.1495
1788517029,12,32,0,0,7,0.1420,0.1262
1788517029,12,33,1,0,7,0.1555,0.1399
1788517029,12,34,0,0,7,0.1340,0.1194
1788517029,12,35,1,0,7,0.1528,0.1417
1788517029,12,36,0,0,7,0.1308,0.1150
1788517029,13,0,0,1,7,8.2785,7.7546
1788517029,13,1,1,0,7,1.4287,1.3187
1788517029,13,2,0,0,7,0.9454,0.8826
1788517029,13,3,1,0,7,0.6786,0.6321
1788517029,13,4,0,0,7,0.6787,0.6300
1788517029,13,5,1,0,7,0.5865,0.1591
1788517029,13,6,0,0,7,1.3996,1.7480
1788517029,13,7,1,0,7,0.3921,0.3620
1788517029,13,8,0,0,7,0.3343,0.3044
1788517029,13,9,1,0,7,0.2460,0.2291
1788517029,13,10,0,0,7,0.3463,0.3182
1788517029,13,11,1,0,7,0.3367,0.3014
1788517029,13,12,0,0,7,0.2231,0.2028
1788517029,13,13,1,0,7,0.3407,0.3151
1788517029,13,14,0,0,7,0.2022,0.1886
1788517029,13,15,1,0,7,0.2602,0.2377
1788517029,13,16,0,0,7,0.4618,0.4353
1788517029,13,17,1,0,7,0.3156,0.2809
1788517029,13,18,0,0,7,0.4576,0.4221
1788517029,13,19,1,0,7,0.2474,0.2296
1788517029,13,20,0,0,7,0.2608,0.2328
1788517029,13,21,1,0,7,0.2622,0.2366
1788517029,13,22,0,0,7,0.4061,0.3739
1788517029,13,23,1,0,7,0.2276,0.2050
1788517029,13,24,0,1,7,0.7899,0.7545
1788517029,13,25,1,0,7,0.3190,0.2901
1788517029,13,26,0,0,7,0.3489,0.3213
1788517029,13,27,1,0,7,0.2953,0.2709
1788517029,13,28,0,0,7,0.2860,0.2567
1788517029,13,29,1,0,7,0.1977,0.1750
1788517029,13,30,0,0,7,0.2115,0.1930
1788517029,13,31,1,0,7,0.1693,0.1551
1788517029,13,32,0,0,7,0.2061,0.1891
1788517029,13,33,1,0,7,0.1877,0.1719
1788517029,13,34,0,0,7,0.6712,0.6171
1788517029,13,35,1,0,6,0.2728,0.2595
1788517029,13,36,0,0,5,0.3950,0.3690
1788517029,13,37,1,0,5,0.2097,0.2007
1788517029,13,38,0,0,4,0.2409,0.2141
1788517029,13,39,1,0,4,0.1953,0.1782
1788517029,13,40,0,0,2,0.1267,0.1168
1788517029,13,41,1,0,2,0.1013,0.0905
1788517029,13,42,0,0,2,0.1118,0.1006
1788517029,13,43,1,0,2,0.0990,0.0887
1788517029,13,44,0,0,2,0.1176,0.1047
1788517029,13,45,1,0,2,0.1047,0.0944
1788517029,14,0,0,0,7,1.3657,1.2650
1788517029,14,1,1,0,7,0.5442,0.5016
1788517029,14,2,0,0,7,0.9058,0.8432
1788517029,14,3,1,0,7,0.6858,0.6070
1788517029,14,4,0,0,7,0.9645,0.8955
1788517029,14,5,1,0,7,0.8119,0.7563
1788517029,14,6,0,0,7,0.7042,0.6519
1788517029,14,7,1,0,7,0.4267,0.3917
1788517029,14,8,0,0,7,0.6400,0.5906
1788517029,14,9,1,0,7,0.4800,0.4426
1788517029,14,10,0,0,7,0.4747,0.4316
1788517029,14,11,1,0,7,0.3446,0.3168
1788517029,14,12,0,0,7,0.6477,0.5951
1788517029,14,13,1,0,7,0.7460,0.6690
1788517029,14,14,0,0,7,0.4397,0.4039
1788517029,14,15,1,2,7,2.6411,2.4774
1788517029,14,16,0,0,7,0.3597,0.3303
1788517029,14,17,1,1,7,1.8134,1.6944
